artist,track_name,mbid
Post Malone,Wow.,1de0c612-7251-40bf-aec9-a53bb1157c06
Doja Cat,Jealous Type,e2584866-b3cb-46b9-bbb1-937546f32b41
Doja Cat,Kiss Me More (feat. SZA),1088b668-b74e-446b-bdf2-a1f471d67f1b
Doja Cat,Lose My Mind (feat. Doja Cat) [From F1® The Movie],0e2367b4-97f0-4115-ab61-9355d176bcbf
Doja Cat,Woman,d761e174-40d8-4755-9332-5f84908de4fb
Doja Cat,Streets,06c6b4b3-f385-4d98-a732-a37be59f49eb
Doja Cat,Paint The Town Red,184af3e5-22da-4d6d-9014-1cc115e073ec
Doja Cat,Agora Hills,a601e3a7-e52d-477d-a544-4cc3fdd288f1
Doja Cat,Born Again (feat. Doja Cat & RAYE),9fec9bb4-3b27-4b55-ae53-36e1a19ba282
Doja Cat,Candy,a834a79b-6d6d-4e12-89cc-c1b46f96ef7e
Doja Cat,So High,837366be-1267-4e1f-bd39-cd073eb47a77
Dua Lipa,Cold Heart - PNAU Remix,65c3725c-3a34-41b1-99da-dff0ba2b388c
Dua Lipa,Don't Start Now,bd53c333-f1bd-465b-81ae-3c1f2ff28fa3
Dua Lipa,Levitating (feat. DaBaby),7d5ffcfb-cac2-4b44-92de-8571e6987bc3
Dua Lipa,Training Season,8e3aa44a-036a-4c70-89ef-08c230da2922
Dua Lipa,Dance The Night,4fbf9706-4e50-4e0d-b98b-a94c930839ae
Dua Lipa,New Rules,118dfa40-be00-4267-9ba7-027928fbeaac
Dua Lipa,One Kiss (with Dua Lipa),1f215b13-829c-4077-9098-e287d1d87f50
Dua Lipa,Houdini,10466c2d-cbe5-412c-94eb-ab1c5faca362
Dua Lipa,Levitating,d1f8ccd0-6898-48dc-acd6-e42a4c60956e
Dua Lipa,Break My Heart,d982d693-d118-4052-9da1-ecb1f3198d03
Sia,Los Angeles,4886473c-bbba-425d-aac1-42f301810250
Sia,Los Angeles - Remix,3aba8bd9-f8ae-4c8f-9910-43ffc9302878
Sia,Les Limites,660262ac-e39a-43ac-9e90-5d34c906952c
Sia,Banlieusards,ec33367c-a141-4ef2-a415-0c3b411c1637
Sia,Archetype,00026127-dbca-4547-b1be-9b5a0b31db8f
Sia,TOUT GÂCHÉ,917f9c9f-bc35-4ea3-a40e-f8127e2a0a54
Sia,Potentiel,db8bfb3a-dc78-440c-849a-ad3d43e2ec19
Sia,Insomnie,67c8927f-5d67-4287-9bbf-04612ae812b0
Sia,Plus tard,40c34fc2-7c26-49af-913e-bd66634aec9b
Sia,Jamais,dcc32d9d-9da7-4eeb-8abe-d90f8ba28e86
Harry Styles,As It Was,53969964-673a-4407-9396-3087be9245f6
Harry Styles,Sign of the Times,bdffe947-5644-466d-93c6-76ed69909e9f
Harry Styles,Watermelon Sugar,d275d6cf-801f-445a-a236-c0667e5a154f
Harry Styles,Adore You,31031d58-3eee-42c7-8309-71dae86da8eb
Harry Styles,Falling,2f103895-6fb4-4c8e-a75a-a4623d078db0
Harry Styles,Matilda,f2a0d02f-d4ce-4b33-bee6-c1c01853538f
Harry Styles,Fine Line,a29e57b7-2318-488b-81fb-c2afe68b2d41
Harry Styles,Late Night Talking,fadbe78b-7421-46da-802a-f72d139ea15f
Harry Styles,Golden,1906584d-d18c-4818-ad57-aad41e2c5386
Harry Styles,Satellite,c7f08565-25b9-44d7-b0d3-6ac5f7c02585
