artist,track_name
Hamza,Mi Amor
Ed Sheeran,Thinking out Loud
Sam Smith,Stay With Me
Shakira,No
Frank Ocean,Pink + White
James Arthur,Impossible
Black Eyed Peas,Rock That Body
Pitbull,Time of Our Lives
Akon,Smack That
Nelly Furtado,Maneater
Booba,92i veyron
Lorde,Ribs
Blood Orange,Champagne Coast
Jul,J'oublie tout
Cigarettes After Sex,Sunsetz
The White Stripes,Seven Nation Army
Lucenzo,Vem Dancar Kuduro
Shawn Mendes,Stitches
Eminem,The Real Slim Shady
Justin Timberlake,SexyBack (feat. Timbaland)
Linkin Park,Somewhere I Belong
The Offspring,The Kids Aren't Alright
Doja Cat,So High (Unplugged)
Red Hot Chili Peppers,Maybe - Live at Slane Castle
Imagine Dragons,Radioactive - Playing It Forward Live Version
Alicia Keys,"Empire State of Mind - Live from iTunes Festival, London, 2012"
Kid Cudi,Day 'n' Nite (Remix)
Gorillaz,Feel Good Inc. - Live in Harlem
Joe Dassin,Il faut naître à Monaco - Live à l'Olympia 1977
Oasis,Live Forever
Backstreet Boys,EveryBody (Backstreet's Back) - O2 Arena
Van Morrison,Bring It On Home To Me - Live
Aerosmith,"I Don't Want To Miss A Thing - Live From The Office Depot Center, Sunrise, FL, April 3, 2004"
Rage Against The Machine,Killing in the Name - from The Battle Of Mexico City
Foo Fighters,"Show Open - Live at Wembley Stadium, 2008"
Bruce Springsteen,Born to Run - Acoustic
Led Zeppelin,"Kashmir - Live at Knebworth Festival, Hertfordshire, England, 8/1979"
Beyoncé,End of Time - Live at Roseland - PCM Stereo Version
Journey,Don't Stop Believin' - Live In Houston 1981: Escape Tour
Camille Saint-Saëns,The Swan (Saint-Saëns)
Britney Spears,"Womanizer - Live from Apple Music Festival, London, 2016"
ZZ Top,Viva Las Vegas
Bruce Springsteen,"Badlands - London Calling: Live In Hyde Park, 2009"
Sade,The Sweetest Taboo - Live 2011
Evanescence,Imperfection
Bruce Springsteen,"Dancing In The Dark - London Calling: Live In Hyde Park, 2009"
Sam Smith,I'm Not The Only One
Ninho,Dis-moi que tu m'aimes
Childish Gambino,Les
Måneskin,Beggin'
50 Cent,In Da Club
Daryl Hall & John Oates,Maneater
Bastille,Pompeii
Sixpence None The Richer,Kiss Me
Papa Roach,Last Resort
Red Hot Chili Peppers,Otherside
Bruce Springsteen,I'm On Fire
Lana Del Rey,Video Games
Imagine Dragons,Thunder
Britney Spears,Gimme More
John Mayer,Gravity - Live from The GRAMMYs on CBS
Shakira,Hips Don't Lie (featuring Wyclef Jean) - Live At The Grammys
Aerosmith,Girls Of Summer
Linkin Park,One Step Closer
Avril Lavigne,Alice
Imagine Dragons,Demons - Live At Trianon
USHER,Yeah! - T4 Performance
Deftones,Diamond Eyes - Live from Dallas
AC/DC,"Thunderstruck - Plaza De Toros De Las Ventas, July 1996"
Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes)
Bruce Springsteen,"Old Dan Tucker - Live at the New Orleans Jazz & Heritage Festival, 2006"
The 1975,Sex - Acoustic
Bruce Springsteen,"London Calling - London Calling: Live In Hyde Park, 2009"
Linkin Park,Road to Revolution - Live at Milton Keynes - Trailer
Rob Zombie,House of 1000 Corpses - Live
Dire Straits,"Romeo & Juliet - On The Night / Live In Rotterdam, Netherlands / 31st May 1992"
Bruce Springsteen,"Born to Run - London Calling: Live In Hyde Park, 2009"
Foo Fighters,"Marigold - Live At Wembley Stadium, 2008"
Bruce Springsteen,Lonesome Day - Live In Barcelona
Def Leppard,Pour Some Sugar On Me - Live On Top Of The Pops
Kendrick Lamar,Swimming Pools (Drank)
Frank Ocean,White Ferrari
Beach House,Space Song
Noah Cyrus,Again (feat. XXXTENTACION)
Mariah Carey,All I Want for Christmas Is You
Foster The People,Pumped Up Kicks
Lil Peep,nuts
Nicki Minaj,Starships
Booba,Ridin'
System Of A Down,Toxicity
Katy Perry,I Kissed A Girl
Maroon 5,Payphone
Jason Derulo,Whatcha Say
Imagine Dragons,Radioactive
Soft Cell,Tainted Love
Bruno Mars,Marry You
Pixies,Where Is My Mind? - 2007 Remaster
Dr. Dre,Still D.R.E.
Shawn Mendes,Treat You Better
Phil Collins,Another Day in Paradise - 2016 Remaster
Queen,Under Pressure - Remastered 2011
Sam Smith,I'm Not The Only One - 1 Mic 1 Take At Capitol Studios / In The Lonely Hour 10th Anniversary Edit
Crowded House,Don't Dream It's Over
Elissa,Hobak Waja'
The Neighbourhood,Afraid - Live at The Palladium
Kanye West,Famous
Eminem,Lose Yourself
Rihanna,Rehab - Live
Tracy Chapman,Talkin' Bout a Revolution - Live
Bruce Springsteen,"The River - The River Tour, Tempe 1980"
Rage Against The Machine,"Bulls On Parade - Live At Finsbury Park, London / 2010"
Céline Dion,"To Love You More feat. Taro Hakase (Live in Memphis, 1997)"
50 Cent,9 Shots
Nirvana,"The Man Who Sold The World - Live On MTV Unplugged, 1993 / Rehearsal"
Linkin Park,"Europe '03 Tour, LPTV Episode 4"
Foo Fighters,"Rock And Roll - Live At Wembley Stadium, 2008"
Van Morrison,"A Sense of Wonder (Live at the Sydney Entertainment Centre, 1985)"
Linkin Park,"Numb - Live from the Roundhouse, London, England, 7/4/2011"
Michael Jackson,Thriller 25th Anniversary
P!nk,"Just Like a Pill - from Live from Wembley Arena, London, England"
David Guetta - Steve Angello - Cozi - Joachim Garraud,Baby When the Light
Linkin Park,"Crawling - Live at the Orange Pavilion, National Orange Show Events Center, San Bernardino, CA, 2/3/2001"
Dire Straits,"Walk Of Life - On The Night / Live In Rotterdam, Netherlands / 31st May 1992"
Phil Collins,"Everyday - Live on Top of the Pops, 1/1/1994"
Britney Spears,"Oops!... I Did It Again - Live from Apple Music Festival, London, 2016"
Elvis Presley,The Wonder of You (with Kate Moss)
Bruce Springsteen,Downbound Train - from Born In The U.S.A. Live: London 2013
